Id,Word_Count,Lexical_Density,Readability,Word_Count,Grammar_Error,Spelling_Error,Unique_Grammar_Error,Unique_Spelling_Error,Keyword_Match_Count,Vocabulary_Score,Vocabulary_Score_Out_Off,Readability_Score,Readability_Score_Out_Off,Length_Score,Length_Score_Out_Off,Grammar_Score,Grammar_Score_Out_Off,Spelling_Score,Spelling_Score_Out_Off,Keyword_Score,Keyword_Score_Out_Off,Language,Word_Count,Sentence_Count,Paragraphs_Size,Time_Taken,Typography_Errors_1,Miscellaneous_Errors_1,Typography_Errors_2,Redundant_Phrases,Capitalization_Errors,Major_Errors,Common_Replacement_Errors,Punctuation_Errors_1,Punctuation_Errors_2,Style_Based_Errors,Miscellaneous_Errors_2,Cumulative_Optional_Features_Percent
16, 194, 0.51, 1.00, 194, 4, 5, 1, 3, 0, 0.18, 0.20, 0.00, 0.15, -0.02, 0, 0.23, 0.30, 0.11, 0.25, 0.00, 0.10, en-US, 194, 1, 1, 440, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0

32, 163, 0.58, 0.64, 163, 8, 2, 6, 2, 3, 0.19, 0.20, 0.07, 0.15, -0.14, 0, 0.00, 0.30, 0.20, 0.25, 0.03, 0.10, en-US, 163, 10, 1, 440, 1, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0

19, 181, 0.47, 0.52, 181, 16, 1, 3, 1, 1, 0.17, 0.20, 0.05, 0.15, -0.07, 0, 0.08, 0.30, 0.22, 0.25, 0.01, 0.10, en-US, 181, 14, 1, 440, 13, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0

35, 214, 0.53, 0.76, 214, 15, 4, 3, 4, 1, 0.18, 0.20, 0.12, 0.15, 0.00, 0, 0.08, 0.30, 0.11, 0.25, 0.01, 0.10, en-US, 214, 9, 1, 440, 7, 7, 0, 0, 0, 0, 0, 1, 0, 0, 0

4, 161, 0.53, 0.53, 161, 5, 0, 5, 0, 0, 0.18, 0.20, 0.05, 0.15, -0.15, 0, 0.08, 0.30, 0.25, 0.25, 0.00, 0.10, en-US, 161, 12, 1, 440, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0

9, 196, 0.57, 0.61, 196, 14, 3, 3, 3, 0, 0.19, 0.20, 0.06, 0.15, -0.01, 0, 0.08, 0.30, 0.16, 0.25, 0.00, 0.10, en-US, 196, 11, 1, 440, 0, 3, 0, 1, 8, 2, 0, 0, 0, 0, 0

10, 172, 0.58, 0.87, 172, 7, 32, 4, 29, 0, 0.16, 0.20, 0.09, 0.15, -0.08, 0, 0.00, 0.30, 0.00, 0.25, 0.00, 0.10, en-US, 172, 5, 1, 440, 0, 1, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0.8380532

12, 167, 0.51, 0.81, 167, 12, 0, 3, 0, 1, 0.18, 0.20, 0.14, 0.15, -0.12, 0, 0.08, 0.30, 0.25, 0.25, 0.01, 0.10, en-US, 167, 7, 1, 440, 0, 4, 2, 0, 5, 1, 0, 0, 0, 0, 0

44, 190, 0.54, 0.54, 190, 20, 8, 3, 6, 1, 0.18, 0.20, 0.05, 0.15, -0.04, 0, 0.08, 0.30, 0.00, 0.25, 0.01, 0.10, en-US, 190, 11, 1, 440, 10, 7, 2, 0, 0, 1, 0, 0, 0, 0, 0

62, 248, 0.40, 0.84, 248, 11, 1, 6, 1, 1, 0.16, 0.20, 0.13, 0.15, 0.00, 0, 0.00, 0.30, 0.22, 0.25, 0.01, 0.10, en-US, 248, 8, 4, 440, 0, 3, 1, 1, 2, 4, 0, 0, 0, 0, 0

